Endpoint,Parameter Name,Location,combined_unit_openapi - Type,increase_openapi - Type,q2_openapi - Type,combined_unit_openapi - Required,increase_openapi - Required,q2_openapi - Required,combined_unit_openapi - Description,increase_openapi - Description,q2_openapi - Description
GET /bookkeeping_entries,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /bookkeeping_entries,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /bookkeeping_entries,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /bookkeeping_entries/{bookkeeping_entry_id},bookkeeping_entry_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /bookkeeping_entry_sets,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /bookkeeping_entry_sets,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /bookkeeping_entry_sets,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /bookkeeping_entry_sets,transaction_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /bookkeeping_entry_sets/{bookkeeping_entry_set_id},bookkeeping_entry_set_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /card/fraudTextAlert/get/{customerId}/{cardId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /card/get/{customerId}/{cardId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /card/getByTag/{customerId}/{tag},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /card/limit/get/{customerId}/{cardId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /card/list/{customerId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /card/list/{customerId},status,query,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
GET /card/provision/cardDetail/{customerId}/{cardId}/{nonce},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /card/provision/cardDetail/{customerId}/{cardId}/{nonce},nonce,path,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,
GET /card/riskFactor/get/{customerId}/{cardId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /cardControl/get/{cardControlId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /cardControl/getByTag/{tag},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /card_payments,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /card_payments,card_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
