Endpoint,Status Code,Content-Type,Property Name,combined_unit_openapi - Type,increase_openapi - Type,q2_openapi - Type,combined_unit_openapi - Description,increase_openapi - Description,q2_openapi - Description
POST /accounts/{accountId}/enter-daca,default,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/enter-daca,default,application/vnd.api+json; charset=utf-8,source,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/enter-daca,default,application/vnd.api+json; charset=utf-8,status,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/enter-daca,default,application/vnd.api+json; charset=utf-8,title,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/freeze,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/freeze,default,application/vnd.api+json; charset=utf-8,code,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/freeze,default,application/vnd.api+json; charset=utf-8,detail,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/freeze,default,application/vnd.api+json; charset=utf-8,details,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/freeze,default,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/freeze,default,application/vnd.api+json; charset=utf-8,source,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/freeze,default,application/vnd.api+json; charset=utf-8,status,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/freeze,default,application/vnd.api+json; charset=utf-8,title,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/relationships/customers,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/relationships/customers,default,application/vnd.api+json; charset=utf-8,code,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/relationships/customers,default,application/vnd.api+json; charset=utf-8,detail,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/relationships/customers,default,application/vnd.api+json; charset=utf-8,details,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/relationships/customers,default,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/relationships/customers,default,application/vnd.api+json; charset=utf-8,source,object,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/relationships/customers,default,application/vnd.api+json; charset=utf-8,status,string,N/A,N/A,,N/A,N/A
POST /accounts/{accountId}/relationships/customers,default,application/vnd.api+json; charset=utf-8,title,string,N/A,N/A,,N/A,N/A
